keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
전자졸업작품,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
대전PCB,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
광주PCB,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
거리감지센서,7,70,69,0,,0,0.0,0.0,0.0,저관련인기
R&D,8,740,8691,3,682.0,2046,0.11666666666666667,0.003568596352101494,0.0,저관련인기
대전스마트팩토리,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
포토다이오드,10,90,450,1,83.0,83,0.0,0.0,0.0,저관련인기
스마트지팡이,8,70,68,1,70.0,70,0.0,0.0,0.0,저관련인기
스마트창문,7,70,126,0,,0,0.0,0.0,0.0,저관련인기
3D프린터무드등,10,70,11,0,,0,0.0,0.0,0.0,저관련비인기
드론졸업작품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
전주시제품제작,10,70,8,0,,0,0.0,0.0,0.0,고관련비인기
전주시제품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
대구라즈베리파이,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
발명품아이디어,9,460,291,0,,0,0.24324324324324326,0.06593406593406594,0.0,저관련인기
광주시제품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
전자과졸업작품,10,90,36,0,,0,0.0,0.0,0.0,저관련비인기
대구PCB,10,70,7,0,,0,0.0,0.0,0.0,저관련비인기
공대졸업작품,10,90,15,0,,0,0.0,0.0,0.0,저관련비인기
목업월드,2,720,1340,1,352.0,352,4.000000000000001,0.47091412742382266,0.0,저관련인기
기발한발명품,7,70,73,0,,0,0.0,0.0,0.0,저관련인기
모바일로봇,8,90,109,1,80.0,80,0.0,0.0,0.0,저관련인기
창원시제품제작,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
목업폰,7,110,336,6,97.0,580,0.2857142857142857,0.18652849740932642,0.25,저관련인기
졸업작품제작,10,1240,7,2,687.0,1374,0.0,0.0,0.0,고관련비인기
전기과졸업작품,10,70,19,0,,0,0.0,0.0,0.0,저관련비인기
화장품시제품,3,100,2,0,,0,0.42857142857142855,0.0,0.0,저관련비인기
기술개발,8,440,429,0,,0,0.1111111111111111,0.02688172043010753,0.0,저관련인기
부산피규어제작,10,70,16,1,70.0,70,0.0,0.0,0.0,저관련비인기
목업도장,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
부산3D프린터제작,10,70,5,0,,0,0.0,0.0,0.0,고관련비인기
IOT업체,10,70,25,0,,0,0.0,0.0,0.0,고관련비인기
경기도3D프린터,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
세종시3D프린터,10,70,5,0,,0,0.0,0.0,0.0,저관련비인기
아이디어제작,10,380,8,0,,0,0.0,0.0,0.0,고관련비인기
ODM제조,10,70,9,0,,0,0.0,0.0,0.0,고관련비인기
인천3D프린팅,10,140,8,0,,0,0.0,0.0,0.0,저관련비인기
인천3D프린터,10,920,15,0,,0,0.0,0.0,0.0,저관련비인기
전기졸업작품,10,70,2,0,,0,0.0,0.0,0.0,저관련비인기
제주도3D프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
경기도3D프린팅,3,810,6,0,,0,10.571428571428571,0.0,0.0,저관련비인기
전주3D프린터,10,130,27,0,,0,0.0,0.0,0.0,저관련비인기
을지로가구제작,10,70,10,0,,0,0.0,0.0,0.0,저관련비인기
청계천용접,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
청계천졸업작품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
을지로주문제작,10,70,3,0,,0,0.0,0.0,0.0,고관련비인기
스테인레스제품,3,170,8,0,,0,1.4285714285714286,0.0,0.0,저관련비인기
기계과졸업작품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
발명대회,9,70,118,0,,0,0.0,0.0,0.0,저관련인기
울산3D프린터,10,230,43,1,83.0,83,0.0,0.0,0.0,저관련비인기
LED조명개발,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
전기자동차개발,10,70,11,0,,0,0.0,0.0,0.0,저관련비인기
자전거개발,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
농기계개발,10,70,7,0,,0,0.0,0.0,0.0,저관련비인기
CCTV개발,10,70,11,0,,0,0.0,0.0,0.0,저관련비인기
광주3D프린터,10,400,25,1,189.0,189,0.0,0.0,0.0,저관련비인기
프라스틱성형,10,210,3,0,,0,0.0,0.0,0.0,저관련비인기
MOLD,7,210,3053,0,,0,0.5,0.05918367346938774,0.0,저관련인기
플라스틱금형제작,10,550,10,0,,0,0.0,0.0,0.0,고관련비인기
금형제작지원,10,70,14,0,,0,0.0,0.0,0.0,저관련비인기
캡스톤대행,10,70,3,2,70.0,140,0.0,0.0,0.0,저관련비인기
을지로제작,10,70,0,0,,0,0.0,0.0,0.0,고관련비인기
목업견적,10,440,0,0,,0,0.0,0.0,0.0,저관련비인기
기계모형,10,150,5,0,,0,0.0,0.0,0.0,저관련비인기
목업집,10,100,14,0,,0,0.0,0.0,0.0,저관련비인기
전시모형제작,10,2750,5,1,2468.0,2468,0.0,0.0,0.0,고관련비인기
부산3D프린트,10,70,23,1,70.0,70,0.0,0.0,0.0,저관련비인기
아이디어개발,10,230,32,0,,0,0.0,0.0,0.0,저관련비인기
중국공장,2,1430,295,4,1162.0,4646,1.7575757575757578,0.0,2.0,고관련인기
조명주문제작,10,370,29,0,,0,0.0,0.0,0.0,저관련비인기
조명제작,7,340,185,8,283.0,2265,0.26086956521739135,0.006451612903225795,0.39999999999999997,저관련인기
전북3D프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
기발한아이디어상품,9,120,898,40,98.0,3903,0.09090909090909091,0.07032181168057211,0.5384615384615384,저관련인기
광주3D프린팅,10,220,19,0,,0,0.0,0.0,0.0,저관련비인기
대전모형제작,10,70,2,0,,0,0.0,0.0,0.0,고관련비인기
청주3D프린팅,10,220,6,0,,0,0.0,0.0,0.0,저관련비인기
광주시제품제작,10,70,3,0,,0,0.0,0.0,0.0,고관련비인기
제주3D프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
청주3D프린터,10,280,26,1,172.0,172,0.0,0.0,0.0,저관련비인기
전주3D프린팅,10,120,10,0,,0,0.0,0.0,0.0,저관련비인기
대전시제품제작,10,270,6,0,,0,0.0,0.0,0.0,고관련비인기
서울모형,3,100,1,0,,0,0.42857142857142855,0.0,0.0,저관련비인기
부산3D프린터업체,10,70,0,0,,0,0.0,0.0,0.0,고관련비인기
스테인레스주문제작,10,220,42,0,,0,0.0,0.0,0.0,고관련비인기
EBMPAPST,10,160,151,3,130.0,390,0.0,0.0,0.0,저관련인기
REXCAN,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
RAPIDFORM,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
제품생산,10,160,67,2,132.0,265,0.0,0.0,0.0,고관련인기
프로토타입,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D출력대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D출력서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D출력,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그3D출력소,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디출력대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디출력서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디출력,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
지그쓰리디출력소,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D출력대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D출력서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D출력,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채3D출력소,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디출력대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디출력서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디출력,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
골프채쓰리디출력소,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린팅대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린팅서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린팅,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린터대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린터서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품쓰리디프린터,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D출력대행,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
디자인소품3D출력서비스,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
