keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
전자부품제조,660,500,450,420,350,300,270,240,210,170
전자기기제작,210,180,110,70,70,70,70,70,70,70
전자기기디자인,420,160,70,70,70,70,70,70,70,70
전자기기개발,2270,1360,810,690,640,560,340,320,290,140
장비제작업체,180,170,160,150,100,100,90,90,80,70
장비개발,970,740,550,500,450,370,320,250,190,140
장난감설계,520,210,150,70,70,70,70,70,70,70
장난감개발,390,300,190,70,70,70,70,70,70,70
자동화설비제작업체,100,70,70,70,70,70,70,70,70,70
자동화설계,1740,1630,1590,1500,1420,1250,1140,1030,950,860
자동화기계제작업체,100,80,70,70,70,70,70,70,70,70
자동화기계제작,2580,2080,1960,1890,1780,1680,1550,1430,1340,1210
자동차휠제작,70,70,70,70,70,70,70,70,70,70
자동차스케치,1050,770,520,360,300,260,200,160,130,90
자동차사출금형,310,140,120,70,70,70,70,70,70,70
자동차부품제작,980,220,180,70,70,70,70,70,70,70
자동차부품설계,2690,2030,1420,860,580,480,370,300,250,190
자동차부품가공,570,500,450,400,350,240,210,160,120,110
자동차목업,1370,1170,1040,880,780,690,600,540,430,270
자동차모형제작,960,810,710,610,560,510,440,400,350,320
자동차모형만들기,350,270,240,220,200,170,140,140,120,100
자동차모형,1730,1480,1270,1030,850,740,640,560,490,450
자동차금형회사,140,90,80,70,70,70,70,70,70,70
자동차금형업체,130,70,70,70,70,70,70,70,70,70
자동차금형설계,130,110,100,70,70,70,70,70,70,70
자동차금형,1490,1310,1060,890,710,580,520,450,380,280
인천플라스틱사출,70,70,70,70,70,70,70,70,70,70
인천플라스틱,100,70,70,70,70,70,70,70,70,70
인천사출금형,840,120,110,70,70,70,70,70,70,70
인천사출,870,120,100,70,70,70,70,70,70,70
인천기계설계,70,70,70,70,70,70,70,70,70,70
인천금형,1030,740,610,70,70,70,70,70,70,70
인써트사출,110,90,70,70,70,70,70,70,70,70
ODM업체,110,100,80,70,70,70,70,70,70,70
인서트사출,360,300,220,170,140,120,100,100,90,80
인서트금형,550,350,280,70,70,70,70,70,70,70
인몰드사출,90,70,70,70,70,70,70,70,70,70
이중사출업체,70,70,70,70,70,70,70,70,70,70
이중사출금형,390,110,80,70,70,70,70,70,70,70
이중사출,720,550,480,420,350,290,240,200,180,160
이종사출,320,70,70,70,70,70,70,70,70,70
