연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
제품기획,140,0.2,0.15,80,1.0,1.27,15,높음
수전디자인,< 10,0.3,3.71,10,0.0,0.0,3,높음
제품목업,40,0.9,2.18,10,0.0,0.0,15,높음
기계설계용역,20,0.7,2.3,10,0.0,0.0,15,높음
금속목업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
목업집,20,0.3,1.78,10,0.0,0.0,15,높음
프로덕트디자인,140,0.2,0.15,180,0.0,0.0,15,높음
제품디자인가격,< 10,0.1,0.96,< 10,0.0,0.0,15,높음
물병디자인,20,0.2,0.92,30,0.0,0.0,15,높음
볼펜디자인,20,1.2,4.8,40,0.0,0.0,15,높음
3D렌더링업체,< 10,0.3,4.77,< 10,0.0,0.0,15,높음
정부과제,850,2.4,0.29,450,2.7,0.61,15,높음
플라스틱제품설계,10,0.3,2.23,20,0.3,1.52,15,높음
드론디자인,10,0.7,4.45,10,0.0,0.0,3,높음
산업디자인자격증,70,0.3,0.42,150,0.0,0.0,10,중간
모델링,2970,0.3,0.02,3200,2.3,0.08,15,높음
목업비용,10,0.2,1.34,10,0.3,2.09,15,높음
대전시제품,10,0.3,1.67,< 10,0.0,0.0,15,높음
경기도지원사업,190,0.9,0.49,110,0.0,0.0,15,높음
기구설계용역,10,1.9,14.36,< 10,0.0,0.0,15,높음
드라이기디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
디자인설계,90,1.0,1.08,60,0.0,0.0,15,높음
3D모델링렌더링,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
시제품제작지원,100,0.5,0.45,20,0.0,0.0,15,높음
제품디자인제작,10,0.3,4.17,< 10,0.0,0.0,15,높음
제품디자인비용,10,0.1,0.75,< 10,0.0,0.0,15,높음
플라스틱사출업체,60,2.3,3.83,20,1.5,5.77,15,높음
CROP,3440,0.0,0.0,8450,0.0,0.0,3,높음
신제품개발,170,0.5,0.32,120,0.0,0.0,15,높음
설계대행,10,0.5,4.11,< 10,0.3,3.71,15,높음
시제품설계,< 10,0.3,3.71,10,0.3,2.09,15,높음
조명디자인,350,1.5,0.43,420,6.0,1.46,15,높음
목업업체,30,0.5,1.62,30,3.3,10.49,15,높음
외관디자인,50,0.8,1.46,20,0.0,0.0,6,중간
대구목업,10,0.8,7.28,< 10,0.0,0.0,15,높음
티비디자인,< 10,0.0,0.0,20,0.0,0.0,3,높음
기구제작,10,1.1,6.3,20,1.3,5.13,15,높음
디자인전문기업,30,0.1,0.41,< 10,0.0,0.0,15,높음
제품컨설팅,10,0.7,6.07,< 10,0.0,0.0,3,높음
특허시제품,10,0.3,2.78,20,0.0,0.0,15,높음
기구설계디자인,< 10,1.0,16.67,< 10,0.0,0.0,3,높음
아이디어상품제작,30,0.4,1.38,50,3.5,6.94,15,높음
대전목업,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
라이노외주,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
샤워기디자인,< 10,0.0,0.0,< 10,0.7,9.53,3,높음
아이디어용품,90,1.4,1.46,190,2.3,1.19,15,높음
블랙박스디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
3D디자인회사,< 10,0.2,3.34,< 10,0.0,0.0,15,높음
시제품디자인,< 10,0.6,7.63,< 10,0.0,0.0,15,높음
기계기구설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
압력용기설계,50,0.8,1.41,10,0.0,0.0,13,중간
정밀기계,90,0.0,0.0,150,0.7,0.49,15,높음
디자인가전,20,0.3,1.13,20,0.0,0.0,13,중간
플라스틱모형제작,< 10,0.0,0.0,20,0.7,2.9,15,높음
3D모델링디자인,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
워킹목업제작,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
아이디어개발,40,1.2,2.56,30,0.0,0.0,15,높음
디자인제품,120,1.1,0.89,90,0.7,0.75,15,높음
칫솔디자인,20,0.0,0.0,10,0.0,0.0,12,중간
휴대폰케이스디자인,10,0.1,0.61,40,0.3,0.82,15,높음
디자인개발,120,0.4,0.35,40,1.7,3.55,15,높음
밥솥디자인,< 10,0.3,8.34,10,0.0,0.0,3,높음
3D제품디자인,20,0.1,0.48,30,0.3,1.15,15,높음
설치미술,1040,3.0,0.3,1770,0.7,0.04,14,높음
선박모형,60,1.9,3.17,70,4.8,7.43,15,높음
피큐어제작,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
프로토타입제작,70,0.1,0.1,40,0.3,0.84,15,높음
