relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
의정부3D프린터,10,10,0.0,0.0,0.0,0.0,2,중간
SUS에칭,10,10,2.8,1.5,21.57,13.64,4,낮음
3D프린터출력비용,20,< 10,0.4,0.0,2.23,0.0,15,높음
모형주문제작,20,30,1.3,2.5,5.8,8.63,15,높음
3D프린터가공,50,40,3.5,3.7,6.42,9.65,15,높음
아이디어상품개발,10,10,1.3,0.3,7.04,2.23,15,높음
소형공작기계,30,50,2.3,4.7,7.3,8.98,15,높음
MCT정밀가공,< 10,< 10,0.3,0.0,6.67,0.0,3,높음
시제품목업,20,< 10,0.9,0.0,4.87,0.0,15,높음
시제품업체,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
MOCKUP제작,< 10,< 10,0.0,0.3,0.0,8.34,15,높음
아이디어제품화,< 10,< 10,0.7,0.0,9.53,0.0,3,높음
제품개발회사,< 10,< 10,0.4,0.0,6.67,0.0,15,높음
아이디어개발,60,40,0.8,0.7,1.51,1.59,15,높음
알루미늄3D프린터,10,10,1.5,1.0,8.96,7.7,4,낮음
제품기구설계,< 10,< 10,0.5,0.0,5.84,0.0,15,높음
기구제작,30,20,0.9,1.0,3.21,4.0,15,높음
금형제작비용,90,140,1.7,9.0,1.93,6.57,15,높음
인천목업,< 10,< 10,0.3,0.0,11.12,0.0,3,높음
기구디자인,30,10,1.2,0.3,4.62,2.57,15,높음
3D렌더링,300,190,1.1,0.8,0.4,0.45,15,중간
PCB케이스,40,20,2.2,0.3,5.13,1.59,8,중간
철가공,80,90,2.0,6.3,2.52,7.36,15,높음
레진3D프린팅,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
알루미늄금형,70,90,2.5,5.0,4.17,5.89,15,높음
렉산차양,20,60,0.8,0.5,4.96,0.88,6,중간
엠티피,10,10,0.0,0.0,0.0,0.0,2,중간
전자개발,20,< 10,0.0,1.0,0.0,14.29,15,높음
선반센터,40,50,0.8,1.0,1.92,1.9,7,중간
스테인레스CNC,< 10,10,0.9,0.0,11.12,0.0,1,중간
아크릴곡면가공,< 10,< 10,1.0,0.0,50.0,0.0,1,중간
