연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
개발디자인,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
과제대행업체,20,0.0,0.0,10,0.0,0.0,3,높음
생활용품디자이너,< 10,0.0,0.0,10,0.0,0.0,3,높음
건강식품용기,10,2.1,15.96,< 10,0.3,4.77,14,높음
식용유용기,10,1.0,6.67,90,0.3,0.4,3,높음
시금형,100,0.0,0.0,40,0.0,0.0,3,높음
디자인가전,20,0.3,1.13,20,0.0,0.0,13,중간
텀블러디자인,70,0.4,0.54,80,3.3,4.07,15,높음
제품디자인가격,< 10,0.1,0.96,< 10,0.0,0.0,15,높음
의료디자인,20,0.0,0.0,30,0.0,0.0,15,높음
렌더링업체,10,0.6,4.29,20,1.3,4.94,15,높음
디자인기구설계,< 10,0.7,33.34,< 10,0.0,0.0,3,높음
플라스틱금형,260,6.8,2.59,210,10.3,5.1,15,높음
청주디자인회사,10,0.5,2.6,10,0.0,0.0,15,높음
샤워기디자인,< 10,0.0,0.0,< 10,0.7,9.53,3,높음
냉장고디자인,30,0.0,0.0,70,0.0,0.0,3,높음
3D모델링제작,10,1.3,8.45,10,0.3,3.04,15,높음
3D모델링대행,< 10,0.2,4.0,< 10,0.0,0.0,15,높음
알루미늄압출성형,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
가전제품디자인,40,0.1,0.16,20,1.3,6.35,15,높음
3D모델링회사,10,0.6,3.53,10,0.0,0.0,15,높음
전자제품케이스,10,0.3,2.57,10,0.0,0.0,15,높음
주방용품디자인,< 10,0.3,5.56,< 10,0.0,0.0,3,높음
3D모델링작업,< 10,1.0,20.0,< 10,0.0,0.0,3,높음
칫솔디자인,20,0.0,0.0,10,0.0,0.0,12,중간
제품개발설계,60,1.6,2.76,60,2.6,4.0,15,높음
3D맵핑,110,1.1,1.04,70,0.0,0.0,15,높음
시제품제작의뢰,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
아이디어개발,40,1.2,2.56,30,0.0,0.0,15,높음
대전목업,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
3D모델링알바,20,1.5,5.65,20,1.7,7.25,15,높음
미용기기디자인,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
유니버설디자인,2570,1.0,0.05,2920,0.0,0.0,3,높음
3D렌더링업체,< 10,0.3,4.77,< 10,0.0,0.0,15,높음
모델링,2970,0.3,0.02,3200,2.3,0.08,15,높음
대전시제품제작,10,0.3,1.49,< 10,0.0,0.0,15,높음
기구설계디자인,< 10,1.0,16.67,< 10,0.0,0.0,3,높음
3D주문제작,< 10,0.3,4.0,20,0.5,2.39,14,높음
3D프린팅SLA,40,0.5,1.21,30,0.0,0.0,12,중간
3D프린팅외주,20,1.6,7.95,10,0.3,2.57,11,중간
IOT디자인,30,0.6,1.83,10,0.0,0.0,5,중간
PCB회로설계,40,0.9,1.86,50,0.0,0.0,15,높음
TP디자인,< 10,0.0,0.0,< 10,1.0,50.0,1,중간
공기청정기설계,10,0.0,0.0,< 10,0.8,40.0,3,높음
대전기구설계,< 10,0.0,0.0,< 10,0.7,8.34,3,높음
대전디자인기업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
대전모형제작,< 10,0.3,8.34,< 10,0.0,0.0,3,높음
대전플라스틱사출,< 10,0.3,33.34,< 10,0.0,0.0,3,높음
디자인렌더링,40,2.2,4.69,20,0.0,0.0,1,중간
디자인역량강화,20,1.0,4.55,< 10,0.0,0.0,1,중간
사출금형부품,20,0.8,3.44,10,0.0,0.0,13,중간
서울디자인진흥원,30,2.0,5.89,10,0.0,0.0,1,중간
소품제작,130,6.1,4.58,160,15.5,10.26,15,높음
시제품도면,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
아두이노외주,110,2.6,2.35,60,1.0,1.52,7,중간
아두이노졸업작품,260,2.7,1.05,220,0.3,0.15,14,높음
영상CG,30,0.4,1.27,50,1.0,2.13,14,높음
우퍼디자인,10,0.0,0.0,20,0.0,0.0,3,높음
이중사출,400,4.9,1.25,310,2.0,0.66,15,높음
익산3D프린터,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
전기과졸업작품,490,6.7,1.4,740,5.3,0.72,14,높음
전주3D프린팅,< 10,0.2,1.67,10,0.0,0.0,13,중간
전통시장디자인,< 10,0.0,0.0,< 10,1.0,20.0,1,중간
정밀금형,80,0.6,0.7,10,0.0,0.0,15,높음
졸업작품만들기,40,0.4,0.99,90,0.7,0.71,15,높음
천안가공,10,0.0,0.0,< 10,0.0,0.0,3,높음
천안디자인업체,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
청주3D프린터,10,0.3,1.86,50,0.0,0.0,15,높음
청주금형,< 10,0.7,13.34,10,1.0,6.25,3,높음
충남산업디자인,< 10,0.5,10.0,< 10,0.0,0.0,2,중간
캐릭터모델링외주,< 10,0.7,9.53,< 10,0.0,0.0,3,높음
캡스톤디자인업체,30,2.0,6.6,20,0.3,1.24,9,중간
캡스톤디자인작품,140,1.3,0.94,100,0.3,0.33,3,높음
플라스틱사출성형,100,4.1,4.31,60,0.7,1.03,15,높음
플라스틱사출제작,< 10,0.0,0.0,< 10,0.0,0.0,13,중간
플라스틱제작업체,10,0.3,1.91,10,0.0,0.0,15,높음
플라스틱제조업체,70,2.0,2.95,70,3.8,5.36,15,높음
플라스틱제품제작,10,1.2,7.74,10,0.0,0.0,12,중간
학생공모전,70,0.6,0.85,90,0.0,0.0,12,중간
3D아이소,10,0.3,2.28,10,0.0,0.0,15,높음
3D모델링의뢰,10,0.7,3.93,20,0.7,3.04,15,높음
드라이기디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
장난감디자인,10,0.0,0.0,20,0.3,1.67,3,높음
유아용품디자인,10,1.0,8.34,< 10,0.0,0.0,6,중간
디자인전문기업,30,0.1,0.41,< 10,0.0,0.0,15,높음
플라스틱출력,< 10,0.3,11.12,< 10,0.0,0.0,3,높음
안전모디자인,10,0.5,3.58,< 10,0.0,0.0,2,중간
전자담배디자인,20,0.0,0.0,70,0.0,0.0,2,중간
헬멧디자인,10,0.6,5.89,20,0.0,0.0,2,중간
CCTV디자인,< 10,0.0,0.0,< 10,0.4,4.55,3,높음
스쿠터디자인,< 10,0.0,0.0,10,0.0,0.0,1,중간
디자인전문회사,700,5.2,0.74,100,2.3,2.36,15,높음
로봇디자인,70,0.4,0.62,50,0.0,0.0,14,높음
서울디자인업체,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
화장품목업,40,0.4,0.77,10,0.0,0.0,14,높음
제품디자인스튜디오,10,0.2,1.66,10,0.0,0.0,12,중간
제품디자인에이전시,30,2.5,7.68,20,2.3,11.67,14,높음
UI디자인,1370,2.1,0.16,960,1.0,0.11,15,높음
제품도면,90,0.3,0.31,40,0.7,1.56,15,높음
유니버셜디자인회사,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
오디오디자인,10,0.0,0.0,10,0.7,5.13,3,높음
멀티탭디자인,30,0.0,0.0,190,0.7,0.38,3,높음
카메라디자인,< 10,0.0,0.0,20,0.0,0.0,3,높음
인테리어3D작업,< 10,0.0,0.0,10,0.0,0.0,3,높음
제품디자인알바,< 10,0.3,4.17,< 10,0.3,16.67,12,중간
3DMODELING,110,0.3,0.25,30,0.3,0.93,15,높음
기구물제작,< 10,0.1,1.34,< 10,0.0,0.0,15,높음
기구제작,10,1.1,6.3,20,1.3,5.13,15,높음
자판기디자인,10,0.1,1.0,10,0.3,3.34,13,중간
