연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
NX설계,10,0.3,2.13,10,0.4,3.34,3,높음
공작기계,1900,8.8,0.48,1680,20.1,1.25,15,높음
금형모델링,10,0.3,2.39,< 10,0.0,0.0,3,높음
금형설계취업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금형이론,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
기계오토캐드,< 10,0.5,10.0,10,0.7,3.93,6,중간
도면설계,120,0.3,0.21,120,0.0,0.0,15,높음
마스터캠X,20,0.0,0.0,20,0.3,1.67,7,중간
마스터캠X5,40,1.0,2.13,50,0.3,0.65,3,높음
마스터캠X6,20,0.3,1.37,10,0.0,0.0,9,중간
마캠9.1,20,0.4,1.57,10,0.5,2.86,3,높음
마캠X,< 10,0.4,7.15,< 10,0.0,0.0,3,높음
마캠X6,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
머시닝센터G코드,140,0.0,0.0,400,0.0,0.0,3,높음
밀링실습,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
설계기초,10,0.0,0.0,20,0.0,0.0,3,높음
솔리드웍스독학,20,0.4,1.66,10,0.0,0.0,13,중간
오토캐드기초,380,0.3,0.09,180,0.0,0.0,15,높음
오토캐드설계,20,0.5,1.99,10,0.0,0.0,8,중간
오토캐드직업,10,0.0,0.0,10,0.0,0.0,2,중간
유니그래픽스,80,0.0,0.0,30,0.0,0.0,14,높음
인벤터캠,70,0.0,0.0,50,0.0,0.0,2,중간
카티아기초,70,0.2,0.28,40,0.0,0.0,15,높음
카티아시험,10,0.7,4.45,10,0.0,0.0,3,높음
캐드디자인,30,0.0,0.0,60,0.3,0.41,14,높음
캐드수업,20,0.3,1.52,30,0.7,1.76,15,높음
캐드실무,80,0.1,0.17,70,0.0,0.0,15,높음
캠가공,30,1.5,5.08,20,0.0,0.0,12,중간
3차원모델링,150,0.0,0.0,40,0.0,0.0,15,높음
컴퓨터응용기계,70,0.0,0.0,70,0.4,0.5,3,높음
컴퓨터응용가공,40,0.0,0.0,60,0.3,0.52,3,높음
마스타캠,40,1.1,2.49,40,0.3,0.75,14,높음
MASTERCAM,210,1.3,0.63,90,0.3,0.29,15,높음
CNC선반가공실무,10,0.7,6.67,< 10,0.0,0.0,3,높음
밀링기계,170,1.5,0.89,280,1.8,0.67,14,높음
2DCAM,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
제품공장,< 10,0.6,11.12,10,0.0,0.0,2,중간
CNC자동선반,100,1.7,1.69,120,3.3,2.78,15,높음
CNC가공,2450,20.1,0.85,4130,52.8,1.35,15,높음
UGCAM,10,0.3,1.97,< 10,0.0,0.0,3,높음
NXCAM,60,0.2,0.26,50,0.0,0.0,12,중간
기계설계기초,20,0.0,0.0,20,0.0,0.0,8,중간
NX7.5,60,1.6,2.7,30,0.0,0.0,4,낮음
3D설계교육,< 10,0.3,4.23,< 10,0.0,0.0,12,중간
NC가공,360,1.2,0.34,240,4.3,1.83,15,높음
POWERMILL,120,0.4,0.34,50,0.0,0.0,15,높음
3DCAD,560,1.3,0.24,330,2.7,0.83,15,높음
솔리드웍스자격증시험,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
마캠,110,0.3,0.3,100,0.3,0.34,12,중간
CAM가공,30,0.3,0.99,10,0.0,0.0,12,중간
CNC공작기계,190,2.1,1.12,80,0.3,0.42,15,높음
파워밀교육,20,2.1,10.39,30,2.5,7.53,4,낮음
마스터캠3D,10,0.4,2.33,10,0.0,0.0,8,중간
마스터캠교재,< 10,0.5,7.7,20,0.0,0.0,2,중간
자동차설계,160,0.3,0.17,330,0.0,0.0,15,높음
AUTOCAD기초,50,0.1,0.13,30,0.0,0.0,15,높음
CAD/CAM,350,0.8,0.23,90,0.0,0.0,15,높음
마스터캠9.1,120,1.0,0.9,110,0.3,0.23,14,높음
캠,16200,5.3,0.04,27500,9.0,0.04,15,높음
MOCKUP,3570,1.9,0.06,2650,0.3,0.02,15,높음
삼각법,990,1.3,0.14,770,0.0,0.0,2,중간
제도,4560,1.1,0.03,7080,0.7,0.01,15,높음
NX9.0,50,1.3,2.57,20,0.0,0.0,3,높음
NX12,220,1.4,0.63,90,0.3,0.38,10,중간
NX다운,40,1.0,4.17,10,0.0,0.0,1,중간
마스터캠X8,10,0.0,0.0,10,0.0,0.0,2,중간
CAM학원,10,0.5,5.56,30,0.0,0.0,12,중간
NX프로그램,190,1.4,0.71,150,0.0,0.0,9,중간
CAD설계,60,0.1,0.11,40,0.0,0.0,15,높음
단면도,2270,1.5,0.07,2340,2.3,0.11,15,높음
전자기능사,380,0.7,0.19,690,0.7,0.11,3,높음
오토캐드무료강좌,10,0.7,4.22,10,0.0,0.0,15,높음
CAM교육,10,0.5,4.07,10,0.0,0.0,14,높음
창원시제품제작,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
CNC선반프로그램,110,0.3,0.31,120,0.0,0.0,3,높음
CNC밀링,430,2.1,0.49,510,11.7,2.42,15,높음
체인콘베어,40,2.7,6.53,20,2.7,10.12,15,높음
진공테스트,10,0.2,0.93,10,0.0,0.0,6,중간
조립자동화,20,0.5,2.13,< 10,0.0,0.0,15,높음
자동화,1560,6.3,0.42,1290,5.7,0.46,15,높음
조각기,600,4.6,0.8,960,16.5,1.83,15,높음
자동라벨부착기,70,4.6,6.48,20,3.0,12.5,15,높음
유압클램프,90,3.2,3.37,50,1.5,2.59,14,높음
오토클램프,50,1.4,2.9,40,0.8,1.88,10,중간
압입기,110,0.9,0.87,90,1.3,1.46,13,중간
수압테스트기,80,2.0,2.48,80,0.8,0.98,15,높음
수압시험기,160,4.7,3.06,90,4.7,4.77,15,높음
기계,4060,3.2,0.09,6120,0.7,0.02,15,높음
너트런너,190,7.1,3.74,80,2.0,2.5,15,높음
데스크탑로봇,10,0.4,2.74,< 10,0.0,0.0,14,높음
라벨분리기,110,3.3,2.85,80,0.0,0.0,15,높음
로봇,8010,16.7,0.22,17300,73.8,0.46,15,높음
